House,Year,TOTAL,Football Fall,Soccer Fall,Frisbee Fall,Tennis Fall,VBFA,VBFBC,VBFBP,Relay,River Run Fall,Water Polo,Futsal,Badminton,HOTM,Spike Ball,3v3WBB,Squash,BBA,BBB,BBC,BBForfeits,Hockey,Broomball,Climbing,Dodgeball,VBSA,VBSBP,VBSBC,Softball,Soccer Spring,Football Spring,Frisbee Spring,Tennis Spring,Foosball,Swim Meet,Table Tennis,MCA,MCB,WCA,WCB,River Run Spring,Kickball,Billiards,W Handball,C Handball,Meetings,Fencing,Inner Tube,Forfeit points returned,,,,,
Mather,2019,1251,0,85,110,59,110,0,100,0,85,0,16,50,37,50,37,110,100,0,80,0,0,90,0,37,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,18,0,27,0,,,,,
Kirkland,2019,1123,0,115,80,38,85,0,100,0,51,0,31,21,28,43,32,100,110,0,85,0,0,110,0,27,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,14,0,37,0,,,,,
Lowell,2019,926,0,110,90,51,75,0,100,0,34,0,27,27,40,32,21,80,-30,55,60,0,0,60,0,43,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,27,0,,,,,
Currier,2019,885,0,80,35,42,130,0,100,0,37,0,37,12,6,19,0,50,110,80,0,0,0,60,0,16,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,17,0,27,0,,,,,
Pforzheimer,2019,836,0,95,85,0,60,0,100,0,0,0,50,21,26,0,-5,75,95,0,75,0,0,40,0,21,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,18,0,37,0,,,,,
Quincy,2019,784,0,95,35,41,50,0,70,0,3,0,43,0,3,32,0,75,0,100,110,0,0,30,0,16,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14,0,50,0,,,,,
Dunster,2019,742,0,60,0,43,0,0,90,0,75,0,-5,21,30,18,50,80,85,0,80,0,0,50,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,,,,,
Cabot,2019,727,0,90,95,41,60,0,100,0,2,0,37,43,2,13,0,65,0,55,50,0,0,50,0,16,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,18,0,-5,0,,,,,
Adams,2019,712,0,70,35,18,60,0,100,0,1,0,16,21,30,18,0,55,0,110,25,0,0,50,0,32,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,18,0,16,0,,,,,
Eliot,2019,704,0,65,120,13,75,0,100,0,1,0,27,37,5,18,43,-45,60,0,20,0,0,110,0,27,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,17,0,16,0,,,,,
Winthrop,2019,697,0,65,30,35,100,0,45,0,27,0,-5,27,0,27,27,50,-15,45,55,0,0,80,0,50,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,16,0,43,0,,,,,
Leverett,2019,591,0,60,95,38,85,0,10,0,11,0,27,0,16,19,27,10,55,-15,75,0,0,-15,0,21,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,18,0,27,0,,,,,
Dudley,2019,478,0,55,55,43,100,0,120,0,16,0,0,37,27,0,0,-30,100,-30,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,,,,
Mather,2018,2463,110,130,110,60,75,0,120,0,80,0,43,37,65,52,37,90,0,100,110,0,0,110,32,50,80,80,0,90,86,100,86,0,60,0,50,58,22,75,24,79,0,60,50,0,20,0,32,0,,,,,
